"Date","Price","Open","High","Low","Vol.","Change %"
"06/08/2023","17.83","19.16","19.68","17.43","","-6.50%"
"06/07/2023","19.07","20.84","21.51","18.82","","-7.87%"
"06/06/2023","20.70","21.90","21.90","20.55","","0.39%"
"06/05/2023","20.62","19.07","21.70","18.73","","5.91%"
"06/02/2023","19.47","17.93","19.97","17.74","","2.20%"
"06/01/2023","19.05","21.78","22.52","18.38","","-17.46%"
"05/31/2023","23.08","24.31","25.40","21.44","","5.97%"
"05/30/2023","21.78","20.32","23.99","17.94","","-7.08%"
"05/26/2023","23.44","27.86","28.06","23.44","","-20.16%"
"05/25/2023","29.36","29.81","31.86","27.78","","-16.54%"
"05/24/2023","35.18","37.44","39.06","34.48","","5.61%"
"05/23/2023","33.31","32.45","35.47","29.87","","13.72%"
"05/22/2023","29.29","29.19","32.81","28.31","","-3.17%"
"05/19/2023","30.25","26.95","31.06","26.31","","7.08%"
"05/18/2023","28.25","31.30","32.52","28.23","","-8.93%"
"05/17/2023","31.02","31.35","33.54","30.06","","-7.51%"
"05/16/2023","33.54","32.40","35.08","31.12","","11.95%"
"05/15/2023","29.96","31.02","33.03","29.94","","4.03%"
"05/12/2023","28.80","26.29","31.07","25.45","","-0.89%"
"05/11/2023","29.06","31.77","34.42","28.39","","-3.36%"
"05/10/2023","30.07","30.02","35.42","28.70","","-9.21%"
"05/09/2023","33.12","32.79","33.64","31.57","","11.59%"
"05/08/2023","29.68","30.15","32.36","29.19","","-5.39%"
"05/05/2023","31.37","31.22","32.50","28.96","","-13.77%"
"05/04/2023","36.38","35.63","40.76","34.18","","12.53%"
"05/03/2023","32.33","32.91","35.57","28.78","","5.79%"
"05/02/2023","30.56","27.40","36.61","26.96","","21.80%"
"05/01/2023","25.09","25.47","25.95","23.22","","-0.79%"
"04/28/2023","25.29","27.30","29.14","24.96","","-7.73%"
"04/27/2023","27.41","29.60","29.94","26.23","","-13.86%"
"04/26/2023","31.82","31.51","34.61","29.49","","11.61%"
"04/25/2023","28.51","27.51","32.30","26.28","","18.64%"
"04/24/2023","24.03","24.48","25.89","23.42","","0.04%"
"04/21/2023","24.02","23.74","26.07","22.81","","-1.07%"
"04/20/2023","24.28","25.62","25.85","22.30","","3.94%"
"04/19/2023","23.36","24.44","24.84","22.15","","-0.34%"
"04/18/2023","23.44","23.54","25.10","22.61","","1.82%"
"04/17/2023","23.02","24.31","24.63","22.57","","-1.16%"
"04/14/2023","23.29","24.72","25.71","23.29","","-5.56%"
"04/13/2023","24.66","25.67","26.66","24.66","","-11.39%"
"04/12/2023","27.83","26.07","29.57","25.44","","1.50%"
"04/11/2023","27.42","26.91","28.04","25.70","","5.66%"
"04/10/2023","25.95","29.27","29.36","25.70","","-2.22%"
"04/06/2023","26.54","29.52","30.51","26.43","","-7.36%"
"04/05/2023","28.65","29.46","30.79","28.02","","2.72%"
"04/04/2023","27.89","28.19","30.70","27.38","","2.88%"
"04/03/2023","27.11","28.62","29.71","26.96","","3.71%"
"03/31/2023","26.14","25.87","26.73","25.45","","-3.33%"
"03/30/2023","27.04","28.45","31.00","26.64","","-10.02%"
"03/29/2023","30.05","29.85","31.32","29.43","","-3.31%"
"03/28/2023","31.08","32.13","34.62","30.70","","0.03%"
